catalog,categotis,anim,lit,sport,mus,anim2,mus2,sport2,lit2,a_cng_c,a_cng_gl,a_cng_pril,s_cng_c,s_cng_gl,s_cng_pril,m_cng_c,m_cng_gl,m_cng_pril,l_cng_c,l_cng_gl,l_cng_pril
пелота,спорт,"Я очень хотела иметь собаку. И вот моя мечта сбылась: на день рождения мне подарили маленького щеночка. Сейчас моей Дине уже пять месяцев. К своей кличке Дина привыкла в течение трех дней. За эти месяцы мы научили нашу любимицу многим командам. Все команды Дина выполняет очень быстро, и я немедленно даю ей печенье или небольшие кусочки мяса как награду за послушание. Приучать же ее к прекращению нежелательных действий по команде «фу!» приходится постоянно, так как она часто бегает за маленькими детьми или чужими людьми.",договор по торговым нюансам прав интеллектуал,"Я хотела бы сказать о своем отношении к спорту. Спорт играет важную роль в нашей жизни. Многие люди занимаются спортом в нашей стране. Они хотят быть здоровыми. Спорт — хорошее средство для борьбы со стрессом. По моему, спорт важен для здорового проведения свободного времени, спорт делает людей сильными.","И ведь, абсолютно неважно, что это будет за музыка – для каждого человека она разная. Все люди разные и такие же разные их «плейлисты». Той милой девушке может нравится тяжёлый рок, а тому молодому человеку – классические произведения. И вовсе не обязательно, чтобы он содержал в себе песни определённого направления и жанра – даже у меня там царит полна «сборная солянка». Сегодня я могу слушать воистину патриотические песни, а завтра задумчиво вздыхать под кельтские мотивы. И это – абсолютно нормально.",Микроорганизмы,СССР и страны Востока,Канада,Ливии Друзы,,,,,,,,,,,,
марафон,спорт,"За это время у нас было много смешных случаев, которые подтверждают, что собаки – очень умные животные. Вот один из них. Как-то бабушка делала в доме генеральную уборку и вытряхивала на крылечке покрывала. Дина взяла свои постельные принадлежности и принесла бабушке на крыльцо, чтобы бабушка вытряхнула и их. Мы долго смеялись и одновременно гордились собачьим умом и сообразительностью. Мы все очень рады, что у нас в доме есть такое живое чудо!","Роль русской литературы очень трудно переоценить. Эта роль многогранна, как и сама литература. Горький писал: «Наша литература – наша гордость».","Некоторые люди принимают участие в соревнованиях, другие предпочитают смотреть их по телевизору. Известно, что часовая прогулка полезнее постоянного участия в физических занятиях. Чтобы быть здоровым, люди присоединяются к занятиям по йоге и аэробике, делают гимнастические упражнения. Другие играют в футбол, бадминтон, волейбол или в теннис. Что касается меня, я стараюсь принимать все во внимание, и при этом я нахожусь в хорошей форме и надеюсь остаться такой же в будущем.","Когда нам грустно, мы можем включить мелодию под наше настроение. Когда нам весело, мы ведь тоже включаем музыку, дабы сделать этот момент ещё лучше. Она сопровождает нас везде – дома, в транспорте и даже магазинах. И это в очередной раз подчёркивает её значимость для нас. Ведь с ней даже самый унылый и безрадостный день может стать чуточку лучше.",Человек,Якутский научный центр СО РАН,Барселона,Аргонавтика,,,,,,,,,,,,
пляжный,спорт,"Мое любимое животное – это собака. Честно говоря, я очень люблю всех животных. Мне нравятся и кошки, и хомяки, и рыбки, и птицы, и даже домашние крысы, но собака – это мое любимое животное. Как говорится, собака – лучший друг человека. И я с этим полностью согласен. Собаки приносят счастье и радость человеку. Они всегда очень веселые, всегда хотят порезвиться и поиграть во что-нибудь, будь то мячик или простая косточка. Они оберегают человеческий дом от посторонних, охраняют свою территорию. Мне кажется, собаки очень преданы человеку, своему хозяину. Можно вспомнить легендарную историю пса Хатико, который остался ждать своего давно уже умершего хозяина. Хатико – это идеал верного, преданного пса.","«Вершиной мирового гуманизма» - называют русскую литературу. Классическая русская литература – это образец для многих людей. Все тот же Максим Горький писал: «Гигант Пушкин – величайшая гордость наша и самое полное выражение духовных сил России, а беспощадный к себе и людям Гоголь, тоскующий Лермонтов, грустный Тургенев, гневный Некрасов, великий бунтовщик Толстой, … , Достоевский, чародей языка Островский – не похожие друг на друга, как это может быть у нас Руси», а мы добавим, что они наши пророки, учителя, совесть нации.","Я хотела бы немного рассказать о своих зимних забавах. С детства мои родители приучили меня кататься на лыжах. Для маленького ребенка и к тому же для новичка мне этот вид спорта показался очень сложным: то вечно падала, или просто лень было вставать на лыжи.","Я всегда восхищался теми, кто может создавать музыку. Играть на инструменте вживую, разбираться в программах, что содержат в себе звучания какой-либо ноты – неважно. Главное то, что люди создают нечто прекрасное, что хочется очень долго слушать. Слушать, вникать, вспоминать даже после того, как мелодия закончится. Ведь в этом и есть вся прелесть музыки – мы будем помнить эти чудные звуки даже много времени спустя. Разве это не прекрасно? Я думаю, что да.",Жвачные,Действительные члены РАН,Летние Олимпийские игры 2000,Высокое Средневековье,,,,,,,,,,,,
слонах,спорт,"Более того, собаки  очень умные и их легко приручить. Заглядывая даже бродячему псу в глаза, создается ощущение, что он все понимает, все видит. Как будто через глаза собаки просвечивает ее собственная душа. А у кого никогда не возникало ощущение вины, когда видишь бродячего голодного пса, жалостно глядящего прямо на вас? Мне кажется, что каждый человек понимает, что собаки – это одни из самых лучших животных. Они умные, приносят радость в нашу жизнь. Они охраняют наш дом, охраняют своего хозяина и создают уют в доме. Но самое главное это то, что собаки – это верные и  преданные братья наши меньшие.","К их творчеству, к творчеству других русских писателей человек обращается всю свою жизнь: ищет ответы на волнующие душу вопросы, постигает науку взаимоотношений людей, полов, учится жить.","Несколько лет спустя, я уже стала с нетерпением ждать, когда выпадет снег. Прогулки на лыжах на свежем воздухе, катание на санках с крутой горы или же легкая пробежка по стадиону – все это стало моим хобби.","Музыка появилась в древние времена и благополучно дожила до наших дней. И это не случайно! Ведь не существует такого человека, который бы не любил музыку. Конечно, все люди разные и музыкальные вкусы у них тоже. Но это не меняет сути.",Ландыш,Оптимизация и исследование операций,Летние Олимпийские игры 1912,Лудовико Ариосто,,,,,,,,,,,,
пушбол,спорт,"Однажды мы с мамой были в зоопарке. Мы остановились у вольеры с жирафом. Жираф величественно возвышался над оградой и пощипывал губами листья высокой акации. Видно было, что экзотический гость из Африки чувствует себя здесь как дома. Я долго стоял и внимательно рассматривал жирафа. Я удивлялся его красоте. Это очень высокое животное — до тести метров, с длинной шеей и длинными ногами. Шея и туловище жирафа песочного цвета. Они покрыты коричневыми пятнами. По сравнению с длинной шеей голова совсем маленькая, и на ней маленькие рожки между ушами.","Великими писателями-психологами есть Ф.Достоевский, Л.Толстой, А.Чехов. На примере их литературных героев мы понимаем, что такое добро и зло, что помогает человеку развиваться и идти дальше. Мы понимаем, что такое соблазн, который ведет к нравственному падению человека. Читая их произведения, мы учимся делать правильный выбор в жизни, разбираться в людях и в себе самом, объективно оценивать окружающий мир.","Почти каждый год мы вместе с братом ездим кататься на горнолыжную базу. Выбрав самую экстремальную тропинку, мы начинаем игру, кто первый дойдет до финиша. От этой игры мы получаем столько адреналина, что на весь год хватает.","Так уж случилось, что для меня музыка стала частичкой души. Я с раннего детства подпевала различным музыкальным исполнителям. Жадно впитывала любую музыку как губка. Для меня нет какого-то определённого любимого музыкального жанра. Каждый из них хорош по-своему, отдельные песни становятся хитами и шлягерами, живут в памяти и сердцах людей не один десяток лет.",Нуклеоид,Кругляков,Зимние Олимпийские игры 1998,Парфений Никейский,,,,,,,,,,,,
рашбол,спорт,"Жираф спокойно стоял в вольере, гордо подняв свою голову. Мне очень хотелось увидеть, как будет жираф наклонять голову, чтобы пощипать траву. Но жираф сначала долго стоял на одном месте, а потом медленно и важно пошёл в другой конец вольеры. Я протянул ему сквозь прутья траву, но он даже не заметил её с высоты своего большого роста. Очень жаль, я ведь так хотел с ним подружиться. Я мысленно попрощался с жирафом и пошёл дальше.","О Тургеневе Белинский писал, что он писатель, в душе которого «вся скорбь и вопросы русского народа». А еще, по словам того же Белинского, этот писатель обладает умением необыкновенно изображать картины русской природы. Описанные им пейзажи воспитывают любовь к Родине, чувство патриотизма. Социально-психологические романы Тургенева раскрывают тонкую душу русской женщины.","А когда приходишь домой, ощущается такая приятная усталость. И что необходимо после катания на лыжах – это приготовить горячий чай и наслаждаться просмотром любимого фильма для полного расслабления мышц. Так я и делаю всегда.","Я меломан. Могу часами прослушивать музыку самых различных жанров, выбирая лучшие композиции. Собираю эти шедевры в отдельной папке на компьютере, чтобы в любой момент вернуться к любимым хитам. И не важно шансон — это или рэп, хеви-металл или классика, главное, это делает мою жизнь ярче!",Микробиология,Эдуард Павлович,Союз Советских Социалистических Республик,Неаполь,,,,,,,,,,,,
регбилиг,спорт,обстановка,"Говоря о русской литературе, нельзя не вспомнить о русской поэзии, ведь творчество многих русских поэтов знаменито на весь мир.","Если вы хотите прожить жизнь без болезней и продлить свою жизнь до 100 лет или более, занимайтесь спортом. Ведь это намного лучше, чем сидеть целыми выходными перед телевизором.","Моя музыка зависит от настроения. Когда я счастлива и активна, люблю слушать жизнерадостную, ритмичную. В минуты грусти, наоборот, хочется, укрывшись тёплым пледом, отгородиться от всего мира и слушать медленные романтические рок-баллады.",Органические соединения,Книга,Зимние Олимпийские игры 1988,Мавр Сервий Гонорат,,,,,,,,,,,,
ринкбол,спорт,сектор (биология),"Пушкин… Кто не любит его творчество? Дети любят его сказки, впервые влюбленная девушка утирая слезы читает любовную лирику поэта, а любители созерцать русские пейзажи наизусть цитируют те или другие его стихи. У них, правда, точность в подборе слов и поэтому в его творчестве мы находим себя. Читая его произведения, - мы верим ему, мы становимся лучше, мы исправляем свои ошибки, мы учимся любить.","Мне сильно нравится баскетбол и волейбол. Я даже посещаю спортивную секцию, где со своей командой периодически отправляемся на соревнования. В зимнее время года мне доставляет удовольствие катание на лыжах, коньках, игра в хоккей. Мои друзья также любят спорт, поэтому мы всегда находим интересные общие темы для беседы. Мой лучший друг несколько лет занимается плаванием, а другие друзья играют со мной в одной команде по волейболу. Девочки нашего класса отдают предпочтение различных видам танцев и гимнастике. Мне всегда были не понятны школьники, стремящиеся избежать урока физкультуры. Это очень важный урок, так как это отличная возможность отвлечься от умственных занятий. Небольшие физические нагрузки позволяют нам зарядиться отличным настроением.","Особенно тёплое отношение у меня к песням под гитару. Мой папа часто играет на этом звонком инструменте, напевая нехитрые бардовские мелодии. Я настолько люблю слушать гитару, что даже захотела сама научиться на ней играть. Однажды попросила отца научить меня, но он ответил: «Если ты по-настоящему этого хочешь, ты научишься играть без чужой помощи». Так и случилось. Стирая пальцы до крови я часами училась брать аккорды, ведь передо мной была чёткая цель: я люблю музыку и хочу её создавать! Сначала мои песни были незамысловатыми и простыми, позже стали осмысленными и мелодичными. Мои мучения не прошли даром, сейчас я играю на электрогитаре в рок-группе нашего небольшого города. Песни моего сочинения поёт солист нашей группы Дима. А я горжусь, что мелодии, созданные мной, слушают окружающие люди и они им очень нравится.",Динокарион,Современные проблемы физики (книжная серия),Соревнования,Данте Габриэль Россетти,,,,,,,,,,,,
рогейн,спорт,девонский этап,"А как же не вспомнить творчество Фета, Тютчева? Они поэты-художники русской природы. Их творчество играет большую роль в эстетическом воспитании человека. Они пробуждают в нем наблюдательность, внимательность, чувство любви к природе. «Люблю грозу в начале мая, Когда весенний, первый гром, Как бы резвяся и играя, Грохочет в небе голубом», - писал Тютчев просто, но лучше не скажешь. Ты не только слышишь, но и видишь несмелые раскаты грома и даже чувствуешь запах первой весенней грозы. Или «Есть в осени первоначальной. Короткая, но дивная пора — Весь день стоит как бы хрустальный, И лучезарны вечера...», - ну как же точнее сказать о теплом периоде осени, «бабьем лете».","Людей, профессионально занимающихся спортом, всегда уважали, преимущественно за их победы на соревнованиях. Заслуживает похвалы их стремление побеждать, пропаганда здорового образа жизни и самоорганизации. В России проживает огромное количество спортивных людей, которые приносят нашей стране победы на олимпиадах. Мы одни из лучших в синхронном плавании, теннисе, прыжках с шестом и других. Спортсмены нашей страны подают отличный пример.","Слушая музыку нашей группы, играя ее под гитару, я как будто сама становлюсь музыкой. Сливаюсь с инструментом и звуками. Она принизывает меня насквозь тёплыми лучами, обволакивает нежным облаком радости и восторга. Я словно растворяюсь во вселенной и нет ничего вокруг, кроме дивных мелодичных звуков.",Живой организм,Академгородок (Новосибирск),Зимние Олимпийские игры 1952,Лаций,,,,,,,,,,,,
рыболовный,спорт,био систематика,"Давайте вспомним творчество Некрасова. Его понимание простой русской души, души русской женщины – ни с чем не сравнимы. Строки его произведений проникнуты тревого за судьбу русского человека, пробуждают в нас чувство сострадания.","Спорт помогает человеку быть в хорошей физической форме, а кроме того он воспитывает характер и силу воли. Занятия спортом способствуют укреплению здоровья. Даже простая зарядка утром под любимую музыку заряжает энергией на весь день.","Не знаю, какую профессию я выберу, став старше, но, несомненно, она так или иначе будет связана с музыкой. Ведь музыка – это моя жизнь!",Филогенез,Отделение нанотехнологий и информационных технологий РАН,Теннис на Олимпийских играх,Битва при Акции,,,,,,,,,,,,
рэндзю,спорт,виноградовая улитка,"Вся русская литература учит быть человеком. Человеком – Личностью! Русская литература – это бесценное наше достояние, это учебник жизни, по которому учились наши родители, учимся мы.","Я всегда любил активные развлечения. Сколько себя помню, всегда играл в разнообразные подвижные игры. И получал от этого невероятное удовольствие! Поэтому родители записали меня на настольный теннис. Это очень интересный вид спорта, в котором необходимо проявлять быструю реакцию, хорошую координацию движений, концентрацию. Когда я играю, это захватывает меня целиком! Мне нравится этот вид спорта, потому что в нем нет перегрузок, он не очень травматичен, зато развивает гибкость, координацию, выносливость и силу мышц.","В моей жизни музыка играет очень важную роль. Когда я грущу, включаю веселую песню, подпеваю исполнителю и танцую. Таким образом мое настроение заметно улучшается.А еще у нас с подружками есть традиция. Мы собираемся раз в две недели, включаем музыку и с расческой в руках представляем себя исполнителями песен.",Хищничество,Список президентов Российской академии наук,2021 год,Героиды,,,,,,,,,,,,
сепактакрау,спорт,королевство (биология),"С самого детства нас сопровождают различные литературные произведения: сказки, загадки, рассказы, поэмы, романы, пьесы и так далее. Все они играют огромную роль в становлении человека. Еще в раннем возрасте литературные произведения закладывают в нас основные моральные принципы и нормы. Сказки, загадки, притчи и прибаутки учат нас ценить дружбу, делать добро, не обижать слабых, уважать родителей, обдумывать свои поступки.","Кроме наслаждения и физического здоровья, занятия спортом подарили мне много интересных людей, с которыми я познакомился на тренировках и соревнованиях, и теперь часто общаюсь. Очень важно иметь единомышленников и тех, кто разделяет твои предпочтения, с кем можно поговорить и поделиться впечатлениями.","Каждое мое утро начинается с веселой песни. Мне кажется, что важно с утра получить порцию хорошего настроения, чтобы день прошел удачно. Приходя домой после школы, первым делом я включаю радио. Песни разных жанров помогают мне настроиться на выполнение домашнего задания и отдохнуть от уроков.",Ядерная мембрана,Химия и жизнь,Токио,Национальная библиотека Чешской Республики,,,,,,,,,,,,
серфинг,спорт,перечень джеффри билла,"Все это изложено доступным языком для детей языком, поэтому им это быстро и легко запоминается. Именно поэтому роль литературы","А еще занятия спортом дают почувствовать радость собственных достижений. Вот не получалось у тебя когда-то и мячик через сетку перебросить, а теперь — занимаешь призовые места на соревнованиях! И ты понимаешь цену приложенных усилий и работы над собой. А кроме того, осознаешь, что настойчивость хорошо помогает в достижении любых целей.","Музыка – такая разная и одновременно прекрасная вещь… Я очень люблю музыку. Все эти завораживающие мелодии, звучания, поражающие до глубины души. Кажется, что не люди играют музыку, а музыка играет нами.",Нормативный контроль,Руководство РАН,Летние Олимпийские игры 1936,Гуарини,,,,,,,,,,,,
сквош,спорт,лунарные легенды,"и книг, в общем, в жизни человека огромна. Они не только участвуют в формировании человека, но составляют основную часть морального воспитания каждого из нас.","Не обязательно быть профессиональным спортсменом, чтобы получать пользу и удовольствие от занятий спортом. Многие из людей бегают по утрам, кт-ото ходит на аэробику и фитнес, кто-то играет в футбол или занимается каратэ. Главное, чтобы это нравилось. А вместе с тем, это делает вас физически сильными и уверенными в себе, а также дает возможность знакомиться со многими интересными людьми.","Если честно, то не представляю, какой была бы жизнь без неё. Вероятно, серой. Беззвучной. Чем-то напоминающей застывшую карусель с большим замком на панели управления. И этот замок был бы музыкальным. Ведь стоит подобрать нужный ключ, как всё существование наполнится весельем, звонкими переливами и уплывающими вдаль фантазиями. Действительно, вы не замечали, как всё вокруг меняется, стоит нам включить проигрыватель?",Травоядные,Памятники русского фольклора,Барон,Баттиста,,,,,,,,,,,,
скелетон,спорт,применяемые в наименованиях таксонов,"За время изучения школьной литературы, мы не просто узнаем новых авторов, новые произведения, новые течения, но и сближаемся с литературой настолько, что она становится неотъемлемой нашей частью. Знаменитый педагог В. П. Острогорский сказала: “Правильно и широко воспитанное общее эстетическое настроение возвышает и облагораживает человека путем благороднейшего наслаждения, которое становится потребностью. Оно делает для него привлекательною,","Польза здорового образа жизни общеизвестна и вот уже долгие годы не подлежит сомнениям. Качественное и сбалансированное питание, крепкий сон, посильный физический труд, частые прогулки на свежем воздухе – все эти аспекты во многом помогают укреплению организма, способствуют молодости и долголетию. Однако именно спорт в жизни человека становится наиболее мощным и действенным фактором в деле сохранения здоровья.","В моей жизни она играет не последнюю роль. Самая главная, наверное, из них – вдохновляющая. Бывают моменты, когда мы ощущаем невероятный прилив сил, только включив какую-либо композицию. Аж кровь бурлить начинает – настолько глубоко музыка проникает в нас, настолько мы проникаемся музыкой.",Хемосинтез,Исследования по фольклору и мифологии Востока,Греция,Древний Рим,,,,,,,,,,,,
скоростной,спорт,роковые яичка,"интересною всю жизнь, открывая в ней, в природе, в человеке, прекрасное существование, коего он доселе и не подозревал…","Спорт всячески способствует гармоничному развитию человека, и в особенности это важно в молодом возрасте. Именно поэтому и мальчишкам, и девчонкам рекомендуются регулярные занятия спортом с самых юных лет, дабы он сумел оказать свое благотворное влияние и заложил хорошую основу здоровья на долгие, долгие годы.","И ведь, абсолютно неважно, что это будет за музыка – для каждого человека она разная. Все люди разные и такие же разные их «плейлисты». Той милой девушке может нравится тяжёлый рок, а тому молодому человеку – классические произведения. И вовсе не обязательно, чтобы он содержал в себе песни определённого направления и жанра – даже у меня там царит полна «сборная солянка». Сегодня я могу слушать воистину патриотические песни, а завтра задумчиво вздыхать под кельтские мотивы. И это – абсолютно нормально.",1900 год,Пущинский научный центр РАН,Зимние Олимпийские игры 2030,Публий Валерий Катон,,,,,,,,,,,,
съезд,спорт,великодушный мохо,"Таким образом, это чувство, подавляя в нас эгоизм, выводит нас из ежедневного круга обыденности, в то же время пробуждая и в эту обыденность вносить мысль и добро, – выводит в широкое общение с природою, обществом, родиной, человечеством… Все же это, вместе взятое, т. е. все эти эстетические отношения к самому себе, природе, людям, искусству, обществу, и создает в человеке особый духовный мир с самим собой, то доброе настроение, то единение с миром, то постоянное стремление к духовной красоте, к служению общей пользе, к честному труду и борьбе со злом – словом, то, что единственно только и составляло во все времена человеческое счастье”.","Занятия спортом – это неотъемлемая составляющая жизни человека, обеспечивающая необходимую активность. Физкультура и спорт дарят заряд бодрости и оптимизма, укрепляют иммунитет и тем самым ограждают человека от различных заболеваний.","Когда нам грустно, мы можем включить мелодию под наше настроение. Когда нам весело, мы ведь тоже включаем музыку, дабы сделать этот момент ещё лучше. Она сопровождает нас везде – дома, в транспорте и даже магазинах. И это в очередной раз подчёркивает её значимость для нас. Ведь с ней даже самый унылый и безрадостный день может стать чуточку лучше.",Молочнокислые бактерии,Академгородок (Иркутск),Летние Олимпийские игры 1920,Байрос,,,,,,,,,,,,
воках,спорт,мочевой бутуз,"На мой взгляд, эти слова очень глубоко и ярко отражают роль литературы и искусства, в общем, в жизни человека. Книги учат нас любить окружающих и дарят нам настоящее человеческое счастье. Именно поэтому, люди, читающие книги и любящие литературу, могут чувствовать на себе все прелести окружающего нас мира: видеть красоту природы, любить и быть любимыми.","Спорт неразделимо связан с закаливанием, и этот момент чрезвычайно важен, поскольку стойкость человека ко всякого рода внешним факторам, таким как низкие температуры, сырость или зной, обеспечивает его хорошее здоровье на протяжении всей жизни.","Я всегда восхищался теми, кто может создавать музыку. Играть на инструменте вживую, разбираться в программах, что содержат в себе звучания какой-либо ноты – неважно. Главное то, что люди создают нечто прекрасное, что хочется очень долго слушать. Слушать, вникать, вспоминать даже после того, как мелодия закончится. Ведь в этом и есть вся прелесть музыки – мы будем помнить эти чудные звуки даже много времени спустя. Разве это не прекрасно? Я думаю, что да.",Ген,Популярные лекции по математике,Велоспорт на Олимпийских играх,Франц фон,,,,,,,,,,,,
следж,спорт,пищевой тракт,"К тому же, благодаря литературе, пополняется наш словарный запас и обогащается духовный мир.","Занимаясь спортом, также можно с удовольствием и радостью отмечать легкость и гибкость своего тела, силу мускулов, эластичность суставов, ведь отличная физическая форма – достойная награда тому, кто с готовностью преодолевает лень и уверенно стремится навстречу собственному совершенству.","Музыка появилась в древние времена и благополучно дожила до наших дней. И это не случайно! Ведь не существует такого человека, который бы не любил музыку. Конечно, все люди разные и музыкальные вкусы у них тоже. Но это не меняет сути.",Антибиотик,Махачкала,2012,Консул (Древний Рим),,,,,,,,,,,,
слэмбол,спорт,микробы,"Исходя из вышесказанного, можно сделать вывод, что литература очень важна в жизни человека: она влияет на наше мировоззрение. Формирует наш внутренний мир, обогащает нашу речь. Именно поэтому мы должны как можно больше читать, любить и уважать книгу, ведь без нее наш мир будет серым и пустым.","Однако польза физической культуры не ограничивается лишь оздоровительными функциями. Спорт – это еще и отличное настроение, высокий жизненный тонус и необычайный душевный подъем, и это прекрасная основа для стремления к успеху, новым свершениям и плодотворному труду.","Так уж случилось, что для меня музыка стала частичкой души. Я с раннего детства подпевала различным музыкальным исполнителям. Жадно впитывала любую музыку как губка. Для меня нет какого-то определённого любимого музыкального жанра. Каждый из них хорош по-своему, отдельные песни становятся хитами и шлягерами, живут в памяти и сердцах людей не один десяток лет.",Пыльца,Типография Академии наук,Республика Корея,Бароччи,,,,,,,,,,,,
